order_id,customer_id,product_category,order_amount,customer_age,region,order_date,,,,
ORD001,C001,전자제품,150000,28,서울,2024-01-15,,,,
ORD002,C002,의류,45000,35,부산,2024-01-16,,,,
ORD003,C001,전자제품,320000,28,서울,2024-01-18,,,,
ORD004,C003,도서,25000,42,대구,2024-01-20,,,,
ORD005,C002,의류,67000,35,부산,2024-01-22,,,,
ORD006,C004,전자제품,89000,31,서울,2024-01-25,,,,
ORD007,C001,도서,35000,28,서울,2024-01-28,,,,
ORD008,C003,의류,52000,42,대구,2024-01-30,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,행 레이블,합계 : order_amount,합계 : customer_age
,,,,,,,,ORD001,150000,28
,,,,,,,,C001,150000,28
,,,,,,,,전자제품,150000,28
,,,,,,,,서울,150000,28
,,,,,,,,2024-01-15,150000,28
,,,,,,,,ORD002,45000,35
,,,,,,,,C002,45000,35
,,,,,,,,의류,45000,35
,,,,,,,,부산,45000,35
,,,,,,,,2024-01-16,45000,35
,,,,,,,,ORD003,320000,28
,,,,,,,,C001,320000,28
,,,,,,,,전자제품,320000,28
,,,,,,,,서울,320000,28
,,,,,,,,2024-01-18,320000,28
,,,,,,,,ORD004,25000,42
,,,,,,,,C003,25000,42
,,,,,,,,도서,25000,42
,,,,,,,,대구,25000,42
,,,,,,,,2024-01-20,25000,42
,,,,,,,,ORD005,67000,35
,,,,,,,,C002,67000,35
,,,,,,,,의류,67000,35
,,,,,,,,부산,67000,35
,,,,,,,,2024-01-22,67000,35
,,,,,,,,ORD006,89000,31
,,,,,,,,C004,89000,31
,,,,,,,,전자제품,89000,31
,,,,,,,,서울,89000,31
,,,,,,,,2024-01-25,89000,31
,,,,,,,,ORD007,35000,28
,,,,,,,,C001,35000,28
,,,,,,,,도서,35000,28
,,,,,,,,서울,35000,28
,,,,,,,,2024-01-28,35000,28
,,,,,,,,ORD008,52000,42
,,,,,,,,C003,52000,42
,,,,,,,,의류,52000,42
,,,,,,,,대구,52000,42
,,,,,,,,2024-01-30,52000,42
,,,,,,,,총합계,783000,269
